user_genome	is_ani_classification	class_tree_mapped	classification_rule
STP294.12602_R.bin.107	False	7	Rule 2
STP294.12602_R.bin.108	False	5	Rule 2
STP294.12602_R.bin.109	False	3	Rule 2
STP294.12602_R.bin.11	False	5	Rule 2
STP294.12602_R.bin.110	False	3	Rule 2
STP294.12602_R.bin.111	False	3	Rule 2
STP294.12602_R.bin.112	False	4	Rule 2
STP294.12602_R.bin.113	False	3	Rule 2
STP294.12602_R.bin.114	False	3	Rule 2
STP294.12602_R.bin.115	False	8	Rule 2
STP294.12602_R.bin.116	False	2	Rule 2
STP294.12602_R.bin.117	False	3	Rule 2
STP294.12602_R.bin.118	False	3	Rule 2
STP294.12602_R.bin.119	False	2	Rule 2
STP294.12602_R.bin.12	False	2	Rule 2
STP294.12602_R.bin.120	False	3	Rule 2
STP294.12602_R.bin.121	False	3	Rule 2
STP294.12602_R.bin.122	False	8	Rule 2
STP294.12602_R.bin.123	False	2	Rule 2
STP294.12602_R.bin.124	False	8	Rule 2
STP294.12602_R.bin.127	False	8	Rule 2
STP294.12602_R.bin.128	False	2	Rule 2
STP294.12602_R.bin.13	False	2	Rule 2
STP294.12602_R.bin.130	False	3	Rule 2
STP294.12602_R.bin.131	False	3	Rule 2
STP294.12602_R.bin.132	False	3	Rule 2
STP294.12602_R.bin.133	False	2	Rule 2
STP294.12602_R.bin.134	False	3	Rule 2
STP294.12602_R.bin.136	False	3	Rule 2
STP294.12602_R.bin.137	False	6	Rule 2
STP294.12602_R.bin.14	False	2	Rule 2
STP294.12602_R.bin.140	False	2	Rule 2
STP294.12602_R.bin.141	False	2	Rule 2
STP294.12602_R.bin.142	False	4	Rule 2
STP294.12602_R.bin.143	False	7	Rule 2
STP294.12602_R.bin.144	False	3	Rule 2
STP294.12602_R.bin.145	False	2	Rule 2
STP294.12602_R.bin.146	False	3	Rule 2
STP294.12602_R.bin.149	False	2	Rule 2
STP294.12602_R.bin.15	False	2	Rule 2
STP294.12602_R.bin.150	False	2	Rule 2
STP294.12602_R.bin.151	False	3	Rule 2
STP294.12602_R.bin.152	False	2	Rule 2
STP294.12602_R.bin.154	False	2	Rule 2
STP294.12602_R.bin.156	False	2	Rule 2
STP294.12602_R.bin.157	False	2	Rule 2
STP294.12602_R.bin.16	False	2	Rule 2
STP294.12602_R.bin.18	False	7	Rule 2
STP294.12602_R.bin.19	False	2	Rule 2
STP294.12602_R.bin.2	False	3	Rule 2
STP294.12602_R.bin.20	False	2	Rule 2
STP294.12602_R.bin.21	False	8	Rule 2
